epoch,train_loss,time_s,union_valid_brier,union_valid_acc,ru_plates_brier,ru_plates_acc,ru_hand_brier,ru_hand_acc,synth_val_brier,synth_val_acc,mean_val_brier
1,0.49598976015739343,299.0,0.20170871913433075,0.6896,0.10551244765520096,0.8566666666666667,0.17924875020980835,0.7467616580310881,0.16058385372161865,0.763,0.16176344268023968
2,0.29884228360256065,345.1,0.1974986344575882,0.6996,0.15927347540855408,0.7866666666666666,0.17552271485328674,0.7493523316062176,0.09324961155653,0.865,0.15638610906898975
3,0.253901054932427,363.2,0.18627487123012543,0.718,0.1218312606215477,0.836,0.10084962844848633,0.8626943005181347,0.085564024746418,0.8813333333333333,0.12362994626164436
4,0.23117758700011176,381.2,0.18683740496635437,0.7228,0.11252930015325546,0.8533333333333334,0.11377990990877151,0.8426165803108808,0.10826076567173004,0.854,0.13035184517502785
5,0.218050082174825,330.7,0.18598605692386627,0.7252,0.05938887596130371,0.924,0.1001293808221817,0.8594559585492227,0.08067169040441513,0.8913333333333333,0.1065440010279417
6,0.20745931691686872,326.9,0.17101241648197174,0.748,0.06503640860319138,0.91,0.08943458646535873,0.8821243523316062,0.09073631465435028,0.8713333333333333,0.10405493155121803
7,0.19214196087227284,330.4,0.18381188809871674,0.7272,0.07818687707185745,0.8986666666666666,0.1248285174369812,0.8341968911917098,0.05498376861214638,0.9253333333333333,0.11045276280492544
8,0.18373399841266466,315.7,0.1661190688610077,0.7466,0.06443628668785095,0.916,0.11333365738391876,0.8393782383419689,0.0696389451622963,0.9036666666666666,0.10338198952376842
9,0.17554821408855778,288.1,0.16963841021060944,0.7408,0.06836652755737305,0.9033333333333333,0.1044372022151947,0.8503886010362695,0.05958953872323036,0.9166666666666666,0.10050791967660189
10,0.17010811800268336,275.2,0.16662970185279846,0.7456,0.06182999536395073,0.918,0.10444997251033783,0.852979274611399,0.06470227241516113,0.9116666666666666,0.09940298553556204
